Characteristic,Team value in million U.S. dollars
Atlanta United,500
LA Galaxy,480
Los Angeles FC,475
Seattle Sounders,405
Toronto FC,395
Portland Timbers,390
New York City FC,385
Chicago Fire,335
D.C. United,330
Sporting Kansas City,325
Minnesota United,300
Orlando City SC,295
New York Red Bulls,290
FC Cincinnati,285
Houston Dynamo,280
San Jose Earthquakes,275
New England Revolution,245
Philadelphia Union,240
Real Salt Lake,235
FC Dallas,220
Vancouver Whitecaps,215
Montreal Impact,210
Columbus Crew,200
Colorado Rapids,190
