Characteristic,Goals scored
Miroslav Klose (Germany),16
Ronaldo (Brazil),15
Gerd Müller (Germany),14
Just Fontaine (France),13
Pelé (Brazil),12
Jürgen Klinsmann (Germany),11
Sandor Kocsis (Hungary),11
Gabriel Batistuta (Argentina),10
Teofilo Cubillas (Peru),10
Grzegorz Lato (Poland),10
Gary Lineker (England),10
Thomas Mueller (Germany),10
Helmut Rahn (Germany),10
Ademir (Brazil),9
Roberto Baggio (Italy),9
Eusébio (Portugal),9
Jairzinho (Brazil),9
Paolo Rossi (Italy),9
Karl-Heinz Rummenigge (Germany),9
Uwe Seeler (Germany),9
Vavá (Brazil),9
Christian Vieri (Italy),9
David Villa (Spain),9
