Characteristic,Number of tests
Week 49,261229
Week 48,275712
Week 47,260717
Week 46,254295
Week 45,228023
Week 44,189301
Week 43,164742
Week 42,148267
Week 41,136883
Week 40,130060
Week 39,127952
Week 38,139471
Week 37,142673
Week 36,126188
Week 35,85419
Week 34,65266
Week 33,56762
Week 32,53772
Week 31,53032
Week 30,59205
Week 29,69529
Week 28,81859
Week 27,80031
Week 26,75171
Week 25,61842
Week 24,60296
Week 23,47080
Week 22,36466
Week 21,28986
Week 20,33003
Week 19,29129
Week 18,28802
Week 17,24560
Week 16,20233
Week 15,19880
Week 14,17783
Week 13,12349
Week 12,10404
Week 11,8990
Week 10,4302
Week 9,752
Week 4-8,180
