Characteristic,Share of population
Liechtenstein,36%
Switzerland,35%
Austria,34%
Finland,23%
Norway,22%
Czech Republic,21%
Andorra,20%
Germany,18%
Iceland,18%
Sweden,18%
Slovakia,18%
Slovenia,14%
France,13%
Poland,13%
Denmark,12%
Italy,12%
Belgium,11%
United Kingdom,10%
Latvia,10%
Montenegro,10%
Macedonia,7%
Hungary,6%
Lithuania,5%
Estonia,5%
Croatia,5%
Bulgaria,5%
Bosnia and Herzegovina,5%
Spain,5%
Russia,3%
Romania,3%
Serbia,3%
Kosovo,3%
Georgia,2%
Portugal,2%
Greece,2%
Ukraine,2%
Belarus,2%
Armenia,2%
Turkey,1%
Azerbaijan,1%
Kazakhstan,1%
Kyrgyzstan,1%
Albania,1%
