Characteristic,Total payroll in million U.S. dollars
New York Yankees,254.19
Los Angeles Dodgers,227.83
Houston Astros,215.39
Boston Red Sox,191.05
Chicago Cubs,190.38
Philadelphia Phillies,183.7
Los Angeles Angels,179.59
St. Louis Cardinals,169.34
New York Mets,168.68
Washington Nationals,168.64
San Francisco Giants,163.2
Atlanta Braves,159.33
Colorado Rockies,157.28
Texas Rangers,153.59
San Diego Padres,153.12
Cincinnati Reds,143.14
Minnesota Twins,138.6
Chicago White Sox,130.25
Arizona Diamondbacks,120.21
Toronto Blue Jays,110.76
Detroit Tigers,105.53
Seattle Mariners,102.71
Milwaukee Brewers,100.66
Oakland Athletics,95.46
Cleveland Indians,91.76
Kansas City Royals,86.58
Tampa Bay Rays,72.1
Pittsburgh Pirates,63.31
Baltimore Orioles,59.99
Miami Marlins,58.99
