Characteristic,Inflation rate compared to previous year
2026*,4.01%
2025*,3.93%
2024*,3.86%
2023*,3.81%
2022*,3.64%
2021*,2.91%
2020*,2.44%
2019,3.7%
2018,3.75%
2017,4.43%
2016,4.45%
2015,2.39%
2014,3.42%
2013,4.34%
2012,3.78%
2011,6.22%
2010,3.86%
2009,1.86%
2008,11.36%
2007,6.82%
2006,6.56%
2005,9.11%
2004,7.58%
2003,5.6%
2002,8.14%
2001,7.28%
2000,5.98%
1999,5.21%
1998,6.62%
1997,9.24%
1996,11.06%
1995,8.41%
1994,12.51%
1993,13.36%
1992,10.24%
1991,35.11%
1990,37.98%
1989,12.99%
1988,10.3%
1987,10.85%
1986,32.78%
