Characteristic,Share of total employment
St Lucia,47.8%
Aruba,36.4%
US Virgin Islands,34.2%
Antigua and Barbuda,32.7%
Bahamas,32%
British Virgin Islands,31.6%
St Kitts and Nevis,22.7%
Anguilla,22%
Grenada,17.1%
St Vincent and the Grenadines,15.5%
Former Netherlands Antilles,14.7%
Dominica,13.8%
Cayman Islands,13.7%
Barbados,13.4%
Jamaica,11.4%
Bermuda,10%
Puerto Rico,6.9%
Dominican Republic,5.6%
Caribbean,5.5%
Guadeloupe,4%
Trinidad and Tobago,3.8%
Martinique,3.5%
Haiti,3.3%
Cuba,2.8%
