Entity,Major role,Minor role,No role,DK
Setting workplace sta ndards,65.0,28,8,nan
Helping people getout of poverty,nan,26,8,8.0
Ensuring a ccess to q uality educa tion,68.0,23,2123,212123.0
Ensuring a coess to health care,69.0,2123,212123,8.0
Ensuring basic income for 65+,71.0,212123,8,0.0
Strengthening the eco nomy,75.0,18,8,0.0
Maintaining infrastructure,75.0,21,1921,0.0
Protecting the environment,76.0,1921,0,0.0
Managing U.S immigration system Protecting the environment,76.0,80,1921,15.0
Ensuring safe food and medicine Managing U.S immigration system Protecting the environment,76.0,80,87,8987.0
Responding to na tural disasters,8987.0,9,0,0.0
Keeping country safe from terrorism Responding to na tural disasters,8987.0,94,9,0.0
