Characteristic,Growth rate
Richard Mille SA,58.7%
Canada Goose Holdings Inc.,41.9%
TFG London,33%
Kering SA,23.3%
Chow Tai Seng Jewellery Co.,22.5%
Coty Luxury,21.5%
Titan Company Limited,19.8%
Euroitalia S.r.l.,16.6%
LVMH Moet Hennesy-Louis Vitton SE,16.5%
Moncler SpA,16.1%
Shiseido Prestige & Fragrance,16%
J Barbour & Sons Ltd,13.3%
Acne Studios Holding AB,13%
SMCP SAS,12.9%
L'Oréal Luxe,12.9%
Chanel Limited,12.5%
Kosé Corporation,12.3%
Joyalukkas India Pvt. Limited,11.9%
Breitling SA,11.5%
"Inter Parfums, Inc.",11%
