Characteristic,GDP in million chained 2012 Canadian dollars
Real estate and rental and leasing,45753.4
Construction,22650.1
Health care and social assistance,17576.1
Manufacturing,17383.2
"Professional, scientific and technical services",16141.6
Retail trade,14770.3
Transportation and warehousing,14728.6
Finance and insurance,14431.8
Public administration,13957.9
Educational services,12968.5
"Mining, quarrying, and oil and gas extraction",10919.7
Wholesale trade,9539.4
Information and cultural industries,8875.5
Accommodation and food services,7735.1
"Administrative and support, waste management and remediation services",6072.7
"Agriculture, forestry, fishing and hunting",5621.4
Other services (except public administration),5408.7
Utilities,4868.4
"Arts, entertainment and recreation",2411.2
Management of companies and enterprises,1132.8
