Characteristic,Number of streams in millions
Mood (ft. Iann Dior) - 24kGoldn,3.2
Ain't It Different (ft. AJ Tracey & Stormzy) - Headie One,2.5
"Lemonade (feat. Gunna, Don Toliver & NAV) - Internet Money",2.4
Head & Heart (dt. MNEK) - Joel Corry,2.3
WAP (ft. Megan Thee Stallion) - Cardi B,2.2
What You Know Bout Love - Pop Smoke,2.1
"Looking for Me - Paul Woolford, Diplo, Kareen Lomax",1.8
Mood Swings (ft. Lil Tjay) - Pop Smoke,1.6
Princess Cuts (feat. Young T & Bugsey) - Headie One,1.6
For The Night (feat. Lil Baby & DaBaby) - Pop Smoke,1.6
