Characteristic,Number of prisoners
Property crime,30745
Crime against the person,23095
Drug-related crimes,18757
Weapons-related crimes,9397
Crime against public administration,8399
Mafia-type organized crime *,7274
Crime against the justice system,6459
Crime against public trust,4353
Offense,3905
Offence against the family,3796
Public-order crime,2731
Crime against public safety,1621
Law on foreigners**,1267
Offence against religions and deceased,1023
Crime against public economy,847
Prostitution,545
Crime against the State,137
Crime against public morals,86
Others,2285
