Characteristic,Gross domestic product in billion international dollars
2026*,107.59
2025*,106.34
2024*,105.41
2023*,104.47
2022*,102.91
2021*,100.68
2020*,95.85
2019,104.99
2018,100.99
2017,103.45
2016,104.34
2015,103.38
2014,102.45
2013,102.45
2012,101.57
2011,100.35
2010,98.38
2009,96.39
2008,93.64
2007,89.52
2006,87.28
2005,83.92
2004,80.32
2003,75.83
2002,72.55
2001,69.67
2000,61.7
1999,57.84
1998,54.09
1997,48.19
1996,45.34
1995,42.65
1994,39.69
1993,36.92
1992,34.63
1991,32.29
1990,30.6
1989,28.27
1988,26.18
1987,23.88
1986,21.97
