Characteristic,Percentage of people below the poverty line
"Detroit city, Michigan",30.6%
"Philadelphia city, Pennsylvania",23.3%
"Houston city, Texas",19.7%
"El Paso city, Texas",18.6%
"Dallas city, Texas",17.5%
"Boston city, Massachusetts",17.1%
"San Antonio city, Texas",16.8%
"Los Angeles city, California",16.7%
"Chicago city, Illinois",16.4%
"Columbus city, Ohio",16.3%
"New York city, New York",16%
"Oklahoma City city, Oklahoma",15.8%
"Indianapolis city (balance), Indiana",15.8%
"Phoenix city, Arizona",15.6%
"Jacksonville city, Florida",14.1%
"Washington city, District of Columbia",13.5%
"Nashville-Davidson metropolitan government (balance), Tennessee",12.6%
"Austin city, Texas",12.2%
"Fort Worth city, Texas",11.9%
"Denver city, Colorado",11.7%
"Charlotte city, North Carolina",11.2%
"San Diego city, California",11%
"Seattle city, Washington",9.8%
"San Francisco city, California",9.5%
"San Jose city, California",7.1%
