Characteristic,Amount in million euros*
France,2616201
Germany,2027864
United Kingdom,1818302
Italy,856428
Sweden,505615
Switzerland,422265
Netherlands,379187
Belgium,324047
Spain,319406
Denmark,246550
Luxembourg,239178
Finland,200731
Norway,172326
Austria,107213
Portugal,60001
Poland,39314
Liechtenstein,24272
Greece,15720
Czech Republic,14733
Hungary,8981
Turkey,6287
Slovakia,6012
Slovenia,5237
Croatia,5078
Malta,3403
Cyprus,2268
Estonia,1819
Bulgaria,1778
Iceland,1024
Latvia,770
Romania,677
