Characteristic,Inflation rate compared to previous year
2026*,2%
2025*,2%
2024*,2%
2023*,2%
2022*,2%
2021*,2.2%
2020*,1.29%
2019,2.17%
2018,2.77%
2017,1.88%
2016,3.55%
2015,2.17%
2014,2.04%
2013,2.12%
2012,0.7%
2011,1.29%
2010,2.42%
2009,2.2%
2008,3.75%
2007,0.71%
2006,2.33%
2005,1.53%
2004,0.45%
2003,2.49%
2002,1.29%
2001,3%
2000,3.09%
1999,2.37%
1998,2.25%
1997,2.57%
1996,1.26%
1995,2.46%
1994,1.38%
1993,2.29%
1992,2.33%
1991,3.44%
1990,4.13%
1989,4.55%
1988,6.68%
1987,8.72%
1986,7.18%
