Consulting firm,Average prestige score
McKinsey & Company,8.98
"Boston Consulting Group, Inc.",8.74
Bain & Company,8.6
Deloitte Consulting LLP,7.12
PricewaterhouseCoopers LLP (Consulting Practice),6.75
Booz Allen Hamilton,6.49
EY (Ernst &Young) LLP Consulting Practice,6.47
Accenture,6.45
KPMG LLP (Consulting Practice),6.16
Oliver Wyman,6.07
IBM Global Services,5.78
Parthenon-EY,5.76
A.T. Kearney,5.75
Strategy& (part of the PwC network),5.65
L.E.K. Consulting,5.47
Lockheed Martin Corporation (IT Consulting),5.19
"Gartner, Inc.",4.99
Grant Thornton LLP (Consulting Practice),4.72
Capgemini,4.71
Mercer LLC,4.7
Oracle Consulting,4.58
GE Healthcare Partners,4.52
Northrop Grumman Corporation (IT Consulting),4.47
SAP Services (IT Consulting),4.35
Navigant Consulting,4.31
