Characteristic,Revenue in million U.S. dollars
Playerunknown’s Battlegrounds,600
Counter-Strike: Global Offensive,120
Grand Theft Auto V,83
Call of Duty: WWII,41
Sid Meier's Civilization VI,39
The Witcher 3: Wild Hunt,38
Divinity: Original Sin 2,37
Tom Clancy's Ghost Recon Wildlands,33
Total War: WARHAMMER II,32
Middle-Earth: Shadow of War,31
Tom Clancy's Rainbow Six Siege,30
NieR: Automata,29
ARK: Survival Evolved,28
For Honor,26
Assasin's Creed Origins,25
Resident Evil 7,24
Dark Souls III,24
Rocket League,23
Football Manager 2018,23
Cuphead,22
