Characteristic,Net income/loss in million U.S. dollars
Q1 '21,68.01
Q4 '20,222.12
Q3 '20,28.66
Q2 '20²,-1228.01
Q1 '20,-8.4
Q4 '19,118.77
Q3 '19,36.52
Q2 '19¹,1119.56
Q1 '19,190.8
Q4 '18,255.3
Q3 '18,789.18
Q2 '18,100.12
Q1 '18,61.0
Q4 '17,91.08
Q3 '17,-21.1
Q2 '17,-116.49
Q1 '17,-61.56
Q4 '16,-167.05
Q3 '16,-102.87
Q2 '16,-107.22
Q1 '16,-79.73
Q4 '15,-90.24
Q3 '15,-131.69
Q2 '15,-136.66
Q1 '15,-162.44
Q4 '14,-125.35
Q3 '14,-175.46
Q2 '14,-144.64
Q1 '14,-132.36
Q4 '13,-511.47
Q3 '13,-64.6
Q2 '13,-42.23
Q1 '13,-27.03
Q4 '12,-8.71
Q3 '12,-21.59
Q2 '12,-27.58
Q1 '12,-21.52
