Characteristic,GDP per capita in U.S. dollars
2026*,1298.63
2025*,1193.05
2024*,1097.3
2023*,1000.5
2022*,926.21
2021*,951.76
2020*,994.2
2019*,968.25
2018*,852.01
2017*,829.31
2016,790.82
2015,702.77
2014,613.1
2013,535.26
2012,493.32
2011,361.83
2010,324.29
2009,351.34
2008,326.82
2007,244.5
2006,198.7
2005,164.94
2004,138.28
2003,120.6
2002,116.45
2001,123.89
2000,128.62
1999,121.55
1998,129.86
1997,147.25
1996,154.56
1995,142.81
1994,151.97
1993,176.47
1992,293.35
1991,287.65
1990,269.08
1989,262.23
1988,257.56
1987,256.7
1986,247.98
