Characteristic,Estimated number of new cancer cases
Breast,2261419
Lung,2206771
Colorectum,1931590
Prostate,1414259
Stomach,1089103
Liver,905677
Cervixuteri,604127
Oesophagus,604100
Thyroid,586202
Bladder,573278
Non-Hodgkinlymphoma,544352
Pancreas,495773
Leukaemia,474519
Kidney,431288
Corpusuteri,417367
"Lip,oralcavity",377713
Melanomaofskin,324635
Ovary,313959
"Brain,centralnervoussystem",308102
Larynx,184615
Multiplemyeloma,176404
Nasopharynx,133354
Gallbladder,115949
Oropharynx,98412
Hypopharynx,84254
Hodgkinlymphoma,83087
Testis,74458
Salivaryglands,53583
Vulva,45240
Penis,36068
Kaposisarcoma,34270
Mesothelioma,30870
Vagina,17908
