Industry,Real value added in billion chained (2012) U.S. dollars
"Mining, quarrying, and oil and gas extraction",7.27
"Finance, insurance, real estate, rental, and leasing",7.84
Government and government enterprises,5.5
"Educational services, health care, and social assistance",4.24
Wholesale trade,3.87
"Agriculture, forestry, fishing, and hunting",5.05
Manufacturing,3.66
Professional and business services,2.95
Retail trade,2.83
Construction,2.31
Transportation and warehousing,1.98
Information,1.57
"Arts, entertainment, recreation, accommodation, and food services",1.01
Utilities,1.29
