Characteristic,Sales in million U.S. dollars
New York,9740.53
Florida,7505.11
Texas,6704.03
California,6601.28
Massachusetts*,5244.58
Georgia,4974.84
Pennsylvania,4556.62
Ohio,4292.46
Michigan,4247.42
Maryland,3469.86
New Jersey,3215.39
North Carolina,3016.21
Illinois,2844.54
Virginia,2148.61
South Carolina,2106.37
Tennessee,1840.8
Missouri,1512.74
Indiana,1384.07
Connecticut,1303.62
Kentucky,1203.44
Oregon,1143.26
Arizona,1097.96
West Virginia,1026.16
Washington,817.3
Wisconsin,725.44
Rhode Island*,700.33
Minnesota,668.57
Colorado,658.84
Delaware,562.24
Arkansas,531.44
Louisiana,509.11
New Hampshire,394.42
Iowa,371.95
Mississippi,339.78
Maine,314.11
South Dakota,292.88
Idaho,277.6
Kansas,274.99
District of Columbia,208.84
Nebraska,183.08
Vermont,137.42
New Mexico,127.05
Montana,61.05
Oklahoma,26.78
North Dakota,24.39
Wyoming,24.07
