Characteristic,Revenue in million U.S. dollars
Q1 '21,263.82
Q4 '20,343.05
Q3 '20,304.02
Q2 '20,395.65
Q1 '20,374.15
Q4 '19,612.32
Q3 '19,495.61
Q2 '19,532.58
Q1 '19,578.41
Q4 '18,799.93
Q3 '18,592.88
Q2 '18,617.4
Q1 '18,626.54
Q4 '17,873.17
Q3 '17,634.47
Q2 '17,662.62
Q1 '17,673.63
Q4 '16,904.87
Q3 '16,686.56
Q2 '16,723.76
Q1 '16*,698.44
Q4 '15,917.17
Q3 '15,713.6
Q2 '15,738.4
Q1 '15,750.36
Q4 '14,883.23
Q3 '14*,714.27
Q2 '14,716.21
Q1 '14,728.42
Q4 '13,768.45
Q3 '13,595.06
Q2 '13,608.75
Q1 '13,601.4
Q4 '12,638.3
Q3 '12,568.55
Q2 '12,568.34
Q1 '12,559.28
Q4 '11,492.16
Q3 '11,430.16
Q2 '11,392.58
Q1 '11,295.52
Q4 '10,172.22
Q3 '10,81.78
Q2 '10,38.67
Q1 '10,20.27
Q4 '09,9.25
Q3 '09,4.0
Q2 '09,1.21
