Characteristic,Away,At home
Switzerland,176,206
Norway,174,176
Singapore,141,170
Denmark,154,168
Sweden,167,162
Australia,162,159
United Kingdom,167,157
Hong Kong,139,148
South Korea,143,144
Finland,141,141
Canada,147,138
USA,174,137
Ireland,156,125
Netherlands,137,122
New Zealand,163,121
Brazil,171,120
Germany,139,118
Russia,145,117
Italy,142,117
Mexico,154,115
Colombia,155,114
Japan,167,112
Taiwan,130,110
France,141,108
Spain,138,105
China,161,105
Argentina,182,103
India,154,89
Thailand,146,83
