Characteristic,Inflation rate compared to previous year
2026*,2.42%
2025*,2.42%
2024*,2.24%
2023*,1.83%
2022*,1.64%
2021*,1.73%
2020,0.87%
2019,1.61%
2018,1.91%
2017,2%
2016,1.28%
2015,1.49%
2014,2.49%
2013,2.48%
2012,1.71%
2011,3.33%
2010,2.86%
2009,1.77%
2008,4.35%
2007,2.36%
2006,3.52%
2005,2.72%
2004,2.28%
2003,2.76%
2002,3.05%
2001,4.41%
2000,4.46%
1999,1.41%
1998,0.86%
1997,0.23%
1996,2.65%
1995,4.58%
1994,1.97%
1993,1.75%
1992,0.97%
1991,3.31%
1990,7.23%
1989,7.58%
1988,7.27%
1987,8.53%
1986,9.05%
