Characteristic,Attendance in millions
"Magic Kingdom (Walt Disney World), USA",20.96
"Disneyland Anaheim, USA",18.66
"Tokyo Disneyland, Japan",17.91
"Tokyo Disney Sea, Japan",14.65
"Universal Studios, Japan",14.5
"Disney's Animal Kingdom, USA",13.89
"Epcot (Walt Disney World), USA",12.44
"Chimelong Ocean Kingdom, China",11.74
"Disney's Hollywood Studios, USA",11.48
"Shanghai Disneyland, China",11.21
"Universal Studios Orlando, USA",10.92
"Islands of Adventure, USA",10.38
"Disney's California Adventure, USA",9.86
"Disneyland Park, France",9.74
"Universal Studios Hollywood, USA",9.15
"Everland, South Korea",6.61
"Lotte World, South Korea",5.95
"Nagashima Spa Land, Japan",5.95
"Europa Park, Germany",5.75
"Hong Kong Disneyland, Hong Kong S.A.R.",5.7
"Ocean Park, Hong Kong S.A.R.",5.7
"De Efteling, the Netherlands",5.26
"Walt Disney Studios Park, France",5.25
"OCTHappz Vallez, Beijing, China",5.16
"Chimelong Paradise, China",4.91
