Characteristic,Goals scored
Henrik Larsson,40
Klaas Jan Huntelaar,34
Radamel Falcao,31
Aritz Aduriz,31
Dieter Müller,29
Alfredo Morelos,27
Shota Arveladze,27
Vágner Love,27
Kevin Gameiro,26
Alessandro Altobelli,25
Jermain Defoe,25
Mladen Petrić,25
Pierre-Emerick Aubameyang,25
Claudio Pizarro,24
Ivan Tričkovski,23
Óscar Cardozo,23
Jupp Heynckes,23
Dimitris Salpingidis,23
Alan,23
Dennis Bergkamp,22
Aleksandr Kerzhakov,22
Jürgen Klinsmann,22
Karl-Heinz Rummenigge,22
Manuel Fernandes,22
Martin Chivers,22
