Characteristic,Number of views in billions
"""Baby Shark Dance"" - Pinkfong Kids' Songs & Stories",7.91
"""Despacito""- Luis Fonsi featuring Daddy Yankee",7.2
"""Shape of You"" - Ed Sheeran",5.18
"""See You Again"" - Wiz Khalifa featuring Charlie Puth",4.96
"""Johny Johny Yes Papa"" - LooLoo Kids",4.77
"""Masha and the Bear – Recipe for Disaster"" - Get Movies",4.41
"""Uptown Funk"" - Mark Ronson featuring Bruno Mars",4.09
"""Gangnam Style"" - Psy",3.97
"""Learning Colors - Colorful Eggs on a Farm"" - Miroshka TV",3.69
"""Bath Song"" - Cocomelon - Nursery Rhymes",3.64
