Characteristic,Operating profit in trillion South Korean won
Q4 '19,7.16
Q3 '19,7.78
Q2 '19,6.6
Q1 '19,6.23
Q4 '18,10.8
Q3 '18,17.57
Q2 '18,14.87
Q1 '18,15.64
Q4 '17,15.15
Q3 '17,14.53
Q2 '17,14.07
Q1 '17,9.9
Q4 '16,9.22
Q3 '16,5.2
Q2 '16,8.14
Q1 '16,6.68
Q4 '15,6.14
Q3 '15,7.39
Q2 '15,6.9
Q1 '15,5.98
Q4 '14,5.29
Q3 '14,4.06
Q2 '14,7.2
Q1 '14,8.5
Q4 '13,8.3
Q3 '13,10.2
Q2 '13,9.5
Q1 '13,8.8
Q4 '12,8.8
Q3 '12,8.1
Q2 '12,6.5
Q1 '12,5.7
Q4 '11,4.7
Q3 '11,4.3
Q2 '11,3.8
Q1 '11,2.8
Q4 '10,3.0
Q3 '10,4.9
Q2 '10,5.0
Q1 '10,4.4
Q4 '09,3.4
Q3 '09,4.2
Q2 '09,2.7
Q1 '09,0.6
