Characteristic,Return taxi trip,Cocktails for two,Dinner for two,Hotel
"London, United Kingdom",36.88,39.01,128.4,315.57
"Paris, France",28.71,51.65,101.88,327.6
"New York City, United States",18.3,34.5,84.62,363.74
"Stockholm, Sweden",27.94,42.58,171.0,236.75
"Oslo, Norway",56.3,36.46,163.41,199.53
"Zurich, Switzerland",42.97,36.86,77.17,296.52
"Copenhagen, Denmark",46.25,32.47,100.62,242.31
"Helsinki, Finland",38.24,22.25,118.76,200.46
"Toronto, Canada",25.43,29.87,90.52,230.32
"Sydney, Australia",22.65,26.15,130.02,196.0
