Characteristic,Inflation rate compared to previous year
2026*,2%
2025*,2%
2024*,2%
2023*,1.98%
2022*,1.81%
2021*,1.65%
2020,1.39%
2019,1.49%
2018,2.12%
2017,2.23%
2016,0.97%
2015,0.81%
2014,1.47%
2013,2.12%
2012,2.57%
2011,3.54%
2010,1.69%
2009,0.41%
2008,3.23%
2007,2.2%
2006,1.69%
2005,2.1%
2004,1.96%
2003,1.3%
2002,1.68%
2001,2.3%
2000,1.96%
1999,0.51%
1998,0.82%
1997,1.17%
1996,1.77%
1995,1.61%
1994,2.71%
1993,3.23%
1992,3.43%
1991,3.12%
1990,2.78%
1989,2.25%
1988,1.87%
1987,1.41%
1986,1.74%
