Characteristic,Sales in billion South Korean won
Food & beverages,19918.03
"Home electric appliances, electronic and telecommunication equipment",18981.66
Food services,17382.79
Clothing,15341.63
Household goods,14479.28
Cosmetics,12471.17
Travel arrangement and transportation services,8160.95
Computers and computer-related appliances,7612.71
"Agriculture, livestock and fishery products",6056.26
Sports and leisure appliances,5408.45
Furniture,4988.04
Goods for infants and children,4885.01
Others,4647.56
E-coupon services,4335.62
Luggage,2657.19
Footwear,2480.77
Books,2448.35
Fashion and accessories,2253.39
Motor vehicles and motor vehicle parts & accessories,2173.13
Miscellaneous services,1497.97
Pet products,1134.01
Office appliances and stationery,1130.7
Culture and leisure services,678.77
