Period of service,Number of veterans
"Gulf War (9/2001 or later), no Gulf War (8/1990 to 8/2001), no Vietnam Era",2449751
"Gulf War (9/2001 or later) and Gulf War (8/1990 to 8/2001), no Vietnam Era",1257922
"Gulf War (9/2001 or later), and Gulf War (8/1990 to 8/2001), and Vietnam Era",65035
"Gulf War (8/1990 to 8/2001), no Vietnam Era",2233613
Gulf War (8/1990 to 8/2001) and Vietnam Era,278423
"Vietnam Era, no Korean War, no World War II",5735736
"Vietnam Era and Korean War, no World War II",101789
Vietnam Era and Korean War and World War II,11894
"Korean War, no Vietnam Era, no World War II",1013648
"Korean War and World War II, no Vietnam Era",28765
"World War II, no Korean War, no Vietnam Era",339668
Between Gulf War and Vietnam Era only,2508911
Between Vietnam Era and Korean War only,1338116
Between Korean War and World War II only,53111
Pre-World War II only,1969
