Characteristic,Average price in U.S. dollars
"Geneva, Switzerland",32.6
"Paris, France",29.36
"Helsinki, Finland",24.35
"Stockholm, Sweden",24.05
"Oslo, Norway",23.8
"London, United Kingdom",22.66
"Tokyo, Japan",22.11
Hong Kong,21.26
"Rome, Italy",21.24
"Copenhagen, Denmark",20.95
"Seoul, South Korea",20.23
"Amsterdam, Netherlands",18.16
"New York, United States",17.99
"Berlin, Germany",17.24
"Sydney, Australia",16.93
"Dublin, Ireland",16.16
"Madrid, Spain",15.93
Singapore,15.36
"Moscow, Russia",15.31
"Rio de Janeiro, Brazil",14.64
