Static and dynamic indicators,Economic effect in million U.S. dollars
"Assault, lost productivity (dynamic)",178427.1
"Incarceration, lost work (dynamic)",71009.66
"Police, wages (static)",56394.99
"Homicide, lost productivity (dynamic)",48555.81
"Incarceration, government costs (static)",41684.1
"Assault, medical costs (static)",37976.99
"Rape, lost productivity (dynamic)",20498.53
"Legal and judicial, government costs (static)",5702.21
"Robbery, property damage (static)",489.95
"Homicide, medical costs (static)",91.62
