Characteristic,Gross domestic product in billion U.S. dollars
2026*,704.18
2025*,669.69
2024*,636.98
2023*,608.07
2022*,577.91
2021*,538.74
2020,501.89
2019,544.15
2018,506.4
2017,456.52
2016,413.5
2015,401.27
2014,407.34
2013,420.33
2012,397.56
2011,370.82
2010,341.11
2009,281.71
2008,291.38
2007,262.94
2006,221.76
2005,189.32
2004,172.9
2003,152.28
2002,134.3
2001,120.3
2000,126.39
1999,126.67
1998,113.68
1997,150.18
1996,183.04
1995,169.28
1994,146.68
1993,128.89
1992,115.58
1991,101.25
1990,88.47
1989,74.64
1988,63.7
1987,52.2
1986,44.52
