Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,35.54
"Finance, insurance, real estate, rental, and leasing",28.29
Government and government enterprises,23.65
"Educational services, health care, and social assistance",17.37
Professional and business services,16.36
Wholesale trade,13.26
Retail trade,11.66
Transportation and warehousing,7.53
Construction,6.96
"Arts, entertainment, recreation, accommodation, and food services",4.91
Information,5.4
"Agriculture, forestry, fishing, and hunting",4.34
Utilities,3.53
"Mining, quarrying, and oil and gas extraction",1.74
