Characteristic,Total*,Fossil fuels**,Renewables**
2020,92.97,72.97,11.59
2019,100.29,80.36,11.35
2018,101.16,81.27,11.3
2017,97.6,77.91,11.08
2016,97.34,78.32,10.37
2015,97.38,79.09,9.72
2014,98.28,80.02,9.74
2013,97.12,79.23,9.45
2012,94.38,77.31,8.85
2011,96.85,79.25,9.2
2010,97.52,80.73,8.27
2009,93.94,77.86,7.61
2008,98.75,83.04,7.17
2007,100.89,85.81,6.52
2006,99.39,84.48,6.64
2005,100.1,85.62,6.23
2004,100.0,85.67,6.08
2003,97.84,89.91,5.94
2002,97.54,83.59,5.73
2001,96.06,82.8,5.16
2000,98.7,84.62,6.1
