Characteristic,Direct premiums written in million U.S. dollars
Odyssey Reins. Group,1900.33
Munich Re America Corp.,957.27
General Re Group,539.7
SCOR U.S. Group/SCOR re,492.06
Everest Reins. Co.,445.64
Endurance Reins. Corp. of America,388.4
Sirius America Insurance Co.,305.15
National Indemnity Co.,209.82
Transatlantic Reinsurance,113.91
Axis Reins. Co.,99.19
American Agricultural Ins. Co.,47.08
XL Reins. America,24.23
Renaissance Reinsurance. U.S. Inc.,0.0
EMC Reins Co.,0.0
Swiss Reins America Corp.,0.0
The Toa Reins. Co. of America,0.0
Partner Reins. Co.,0.0
