Characteristic,"Practicing nurses per 1,000 inhabitants"
Norway,17.7
Switzerland,17.2
Iceland*,14.5
Finland,14.3
Germany,12.9
Ireland*,12.2
United States*,11.7
Luxembourg,11.7
Australia,11.7
Japan,11.3
Belgium,11.0
Sweden,10.9
Netherlands,10.9
France*,10.5
New Zealand,10.2
Canada,10.0
Denmark,10.0
Slovenia,9.9
OECD36,8.8
Russian Federation,8.47
Czech Republic,8.1
United Kingdom,7.8
Lithuania,7.7
Korea,6.9
Austria,6.9
Portugal*,6.7
Hungary,6.5
Estonia,6.2
Italy,5.8
Spain,5.7
Slovak Republic*,5.7
Poland,5.1
Israel,5.1
Latvia,4.6
Greece,3.3
Costa Rica,3.2
Mexico,2.9
Chile,2.7
China,2.7
Turkey*,2.1
India,1.5
Brazil,1.5
South Africa,1.32
Colombia,1.3
Indonesia,1.16
