Characteristic,Revenue in billion U.S. dollars
4Q '20,4.98
3Q '20,5.53
2Q '20,4.28
1Q '20,4.5
4Q '19,3.83
3Q '19,4.42
2Q '19,5.07
1Q '19,4.54
4Q '18,3.59
3Q '18,4.03
2Q '18,4.36
1Q '18,4.09
4Q '17,3.48
3Q '17,3.97
2Q '17,4.18
1Q '17,3.74
4Q '16,3.37
3Q '16,3.55
2Q '16,3.91
1Q '16,3.51
4Q '15,3.18
3Q '15,3.45
2Q '15,3.72
1Q '15,3.37
4Q '14,3.41
3Q '14,3.58
2Q '14,4.38
1Q '14,3.71
4Q '13,2.56
3Q '13,2.67
2Q '13,2.87
1Q '13,2.53
4Q '12,2.65
3Q '12,2.58
2Q '12,2.59
1Q '12,2.28
4Q '11,2.68
3Q '11,2.43
2Q '11,2.52
1Q '11,2.35
