Characteristic,Revenue in million U.S. dollars
The Lord of the Rings: Return of the King2004,377.85
Gladiator2001,187.71
A Beautiful Mind2002,170.74
Chicago2003,170.69
Slumdog Millionaire2009,141.32
The King's Speech2011,138.8
Argo2013,136.03
The Departed2007,132.38
Million Dollar Baby2005,100.49
Green Book 2019,85.08
No Country for Old Men2008,74.28
The Shape of Water2018,63.86
12 Years A Slave2014,56.67
Crash2006,54.58
Parasite2020,48.83
Spotlight2016,45.06
The Artist2012,44.67
Birdman2015,42.34
Moonlight2017,27.85
The Hurt Locker2010,17.02
Nomadland2021,2.14
