Characteristic,Value in million Australian dollars
Mar-2021,0.5
Dec-2020,0.8
Sep-2020,1.2
Jun-2020,0.5
Mar-2020,0.5
Dec-2019,1.8
Sep-2019,2.1
Jun-2019,2.7
Mar-2019,1.2
Dec-2018,2.2
Sep-2018,3.3
Jun-2018,1.9
Mar-2018,2
Dec-2017,3.5
Sep-2017,1
Jun-2017,0.6
Mar-2017,0.4
Dec-2016,0.5
Sep-2016,0.2
Jun-2016,0.9
Mar-2016,0.3
Dec-2015,1.5
Sep-2015,1.6
Jun-2015,1.2
Mar-2015,0.9
Dec-2014,1.5
Sep-2014,1.8
Jun-2014,2.7
Mar-2014,2.5
Dec-2013,3.1
Sep-2013*,-
Jun-2013,1.7
Mar-2013,1.6
Dec-2012,1.6
Sep-2012,1.4
Jun-2012*,-
Mar-2012,1.1
Dec-2011,2.2
Sep-2011*,-
Jun-2011*,-
Mar-2011,0.6
