Characteristic,Number of hotels
Municipio I - Historical Center-Prati,724
Municipio II - Parioli/Nomentano-San Lorenzo,70
Municipio XIII - Aurelia,36
Municipio IX - EUR,29
Municipio VII - San Giovanni/Cinecittà,27
Municipio III - Monte Sacro,19
Municipio VI - Roma Delle Torri,17
Municipio XII - Monte Verde,16
Municipio XIV - Monte Mario,16
Municipio XV - Cassia Flaminia,16
Municipio IV - Tiburtina,16
Municipio X - Ostia,15
Municipio VIII - Appia Antica,14
Municipio V - Prenestino/Centocelle,12
Municipio XI - Arvalia Portuense,9
