Characteristic,Number of Tumblr blogs in millions
Apr '20,496.1
Jan '20,488.1
Oct '19,480.1
Jul '19,471.6
Apr '19,463.5
Jan '19,456.1
Oct '18,441.4
Jul '18,425.7
Apr '18,409.0
Jan '18,391.9
Oct '17,373.0
Jul '17,357.7
Apr '17,345.0
Jan '17,332.8
Oct '16,319.8
Jul '16,305.9
Apr '16,291.7
Jan '16,275.9
Oct '15,260.5
Jul '15,246.6
Apr '15,227.1
Jan '15,220.8
Oct '14,207.3
Jul '14,195.1
Apr '14,181.1
Jan '14,166.3
Oct '13,141.4
Jul '13,122.4
Apr '13,101.8
Jan '13,88.6
Oct '12,76.4
Jul '12,62.6
Mar '12,50.0
Sep '11,28.0
May '11,17.5
