Characteristic,Revenue in million U.S. dollars
Q1 '21,2058.0
Q4 '20,1634.0
Q3 '20,1589.0
Q2 '20,1540.0
Q1 '20,1952.0
Q4 '19,2062.0
Q3 '19,2011.0
Q2 '19,1977.0
Q1 '19,1744.0
Q4 '18,1495.91
Q3 '18,1467.38
Q2 '18,1432.3
Q1 '18,1375.1
Q4 '17,1403.9
Q3 '17,1379.6
Q2 '17,1347.57
Q1 '17,1294.07
Q4 '16,1303.0
Q3 '16,1277.65
Q2 '16,1235.57
Q1 '16,1201.01
Q4 '15,1196.15
Q3 '15,1169.71
Q2 '15,1123.21
Q1 '15,1080.99
Q4 '14,1090.95
Q3 '14,1057.09
Q2 '14,1035.35
Q1 '14,997.71
Q4 '13,1000.08
Q3 '13,961.51
Q2 '13,940.11
Q1 '13,897.4
Q4 '12,892.42
Q3 '12,867.36
Q2 '12,837.54
Q1 '12,804.72
Q4 '11,783.74
Q3 '11,762.55
Q2 '11,744.4
Q1 '11,723.84
