Characteristic,Share of respondents
Immigration,12%
Race relations/ racism,8%
Donald Trump,8%
Parties/ gridlock/ divisions in country,7%
"Economy (general), health care/costs/accessibility",6%
Unemployment/ lack of jobs,4%
Distribution of wealth / Inequality,4%
Education/ schools/ affording education,4%
Foreign policy (general),4%
Crime/violence/judicial system,3%
Morality/ ethics/ family values,3%
Gun control/ too many guns,3%
Lack of humanity/ respect,3%
Environment/ global warming,2%
Dissatisfaction with government/ politics/ corruption,2%
Defense/ national security,2%
