Characteristic,Properties key
Tower Hamlets,3335
W&C,3181
Hackney,3040
Camden,2313
K&C,2127
Islington,2101
Southwark,1961
Lambeth,1835
H&F,1548
Wandsworth,1435
Hounslow,887
Haringey,881
Brent,867
Lewisham,818
Newham,714
Ealing,517
Greenwich,507
Waltham Forest,500
Barnet,471
Richmond Upon Thames,467
Merton,395
Kingston Upon Thames,251
Croydon,247
Redbridge,241
Harrow,213
Bromley,169
Enfield,142
Sutton,91
Hillingdon,78
Bexley,59
Havering,43
Barking and Dagenham,40
