Characteristic,Total score
"University of California, Irvine",89.95
Stanford University,89.86
Thompson Rivers University,89.63
Arizona State University,89.31
"University of California, Merced",86.64
State University of New York College of Environmental Science and Forestry,85.21
Colorado State University,84.68
University of Connecticut,84.68
University of New Hampshire,84.3
Colby College,83.62
Universite Laval,83.2
Cornell University,82.14
"University of California, Berkeley",81.47
Dickinson College,80.67
"University of Massachusetts, Amherst",80.04
"University of Massachusetts, Lowell",80.04
Chatham University,80.01
"University of California, Davis",79.61
Santa Clara University,79.45
Seattle University,79.41
