Characteristic,Inflation rate compared to previous year
2026*,2%
2025*,2%
2024*,2%
2023*,2%
2022*,2%
2021*,1%
2020,0.12%
2019,0.19%
2018,0.27%
2017,1.15%
2016,0.66%
2015,-0.86%
2014,1.2%
2013,0.51%
2012,1.21%
2011,1.7%
2010,0.92%
2009,-1.1%
2008,6.39%
2007,2.32%
2006,4.24%
2005,3.65%
2004,3.07%
2003,2.62%
2002,2.2%
2001,1.15%
2000,0.61%
1999,-1.21%
1998,-0.85%
1997,1.03%
1996,6.43%
1995,2.89%
1994,2.57%
1993,1.47%
1992,2.4%
1991,3.23%
1990,2.05%
1989,0%
1988,5.32%
1987,2.02%
1986,0.79%
