Characteristic,Repayments in million GBP
Nov '19,11908
Oct '19,11763
Sep '19,12007
Aug '19,12194
Jul '19,12088
Jun '19,12363
May '19,12135
Apr '19,12130
Mar '19,12386
Feb '19,12349
Jan '19,12152
Dec '18,11907
Nov '18,12392
Oct '18,12367
Sep '18,12733
Aug '18,12591
Jul '18,12598
Jun '18,12641
May '18,12447
Apr '18,12704
Mar '18,12919
Feb '18,12813
Jan '18,12600
Dec '17,12542
Nov '17,13007
Oct '17,13061
Sep '17,13238
Aug '17,13026
Jul '17,13070
Jun '17,13047
May '17,13127
Apr '17,13058
Mar '17,13152
Feb '17,13260
Jan '17,12931
Dec '16,12527
Nov '16,12803
Oct '16,12861
Sep '16,12983
Aug '16,12113
Jul '16,12213
Jun '16,11984
May '16,12172
