Characteristic,Life insurance and capitalization,Health and accident,Total personal insurance
Crédit Agricole Assurances,23061,2103,25164
Caisse Nationale de Prévoyance,17634,1414,19048
Axa France Assurance,10962,3873,14835
BNP Paribas Cardiff,11821,353,12174
Crédit Mutuel,12992,1459,14451
Société Générale  Insurance,11505,254,11759
BPCE,10479,455,10934
Generali,7395,1845,9240
Allianz,4967,2543,7510
Groupama-Gan,2522,3327,5849
Aviva,6068,365,6433
Covéa (GMF-MAAF-MMA),3436,982,4418
AG2R La Mondiale,5532,127,5659
Swiss Life,3429,1210,7639
Macif,2079,321,2400
HSBC Assurances,2069,9,2078
Other companies**,8607,4152,12759
