Characteristic,Market share
Dec 20,1.29%
Nov 20,1.67%
Oct 20,1.65%
Sep 20,1.67%
Aug 20,1.94%
Jul 20,1.9%
Jun 20,1.42%
May 20,1.69%
Apr 20,1.3%
Mar 20,1.55%
Feb 20,2.7%
Jan 20,2.04%
Dec 19,1.95%
Nov 19,1.84%
Oct 19,1.75%
Sep 19,2%
Aug 19,1.94%
Jul 19,2.82%
Jun 19,1.8%
May 19,2.53%
Apr 19,2.25%
Mar 19,2.41%
Feb 19,2.72%
Jan 19,2.41%
Dec 18,1.39%
Nov 18,1.81%
Oct 18,2.14%
Sep 18,2.36%
Aug 18,1.9%
Jul 18,2.09%
Jun 18,2.19%
May 18,2.29%
Apr 18,2.4%
Mar 18,1.91%
Feb 18,2.64%
Jan 18,2.13%
Dec 17,1.43%
Nov 17,1.74%
Oct 17,1.91%
Sep 17,1.95%
Aug 17,2.69%
Jul 17,1.98%
Jun 17,1.92%
May 17,2.16%
Apr 17,1.83%
Mar 17,2.31%
Feb 17,2.55%
Jan 17,1.86%
