Characteristic,Number of viewers in thousands
April 2021,131.0
March 2021,158.0
February 2021,160.0
January 2021,136.07
December 2021,146.01
November 2020,115.35
October 2020,115.18
September 2020,108.01
August 2020,132.89
July 2020,141.72
June 2020,155.2
May 2020,165.17
April 2020,135.63
March 2020,89.1
February 2020,79.68
January 2020,72.34
December 2019,86.37
November 2019,81.47
October 2019,106.0
September 2019,83.92
August 2019,119.61
July 2019,121.7
June 2019,128.84
May 2019,144.1
April 2019,139.43
March 2019,136.23
February 2019,124.99
January 2019,170.14
December 2018,158.48
November 2018,152.9
October 2018,150.62
September 2018,147.48
August 2018,176.89
July 2018,205.26
June 2018,176.29
May 2018,194.28
April 2018,178.74
March 2018,159.36
February 2018,97.6
January 2018,61.64
