Characteristic,Funds in million U.S. dollars
Department of Health and Human Services,20937.83
National Science Foundation,5444.12
Department of Energy,4560.24
National Aeronautics and Space Administration,4489.5
Department of Defense,3511.15
Department of Agriculture,906.6
Department of Education,615.46
Department of Commerce,353.8
Department of Transportation,83.9
Agency for International Development,59.2
Department of Justice,54.5
Environmental Protection Agency,51.7
Department of the Interior,44.7
Department of Homeland Security,43.5
Other agencies,6.0
Nuclear Regulatory Commission,4.3
Department of Housing and Urban Development,2.1
