Characteristic,Gross domestic product in billion U.S. dollars
2026*,967.72
2025*,929.41
2024*,894.23
2023*,851.06
2022*,810.67
2021*,759.1
2020,668.51
2019,612.17
2018,609.2
2017,590.73
2016,543.08
2015,534.52
2014,535.33
2013,512.94
2012,495.61
2011,483.97
2010,444.28
2009,390.83
2008,415.9
2007,406.91
2006,386.45
2005,374.06
2004,346.92
2003,317.38
2002,307.44
2001,299.28
2000,330.68
1999,303.83
1998,279.96
1997,303.28
1996,292.49
1995,279.06
1994,256.25
1993,236.34
1992,222.91
1991,187.14
1990,116.62
1989,152.7
1988,126.47
1987,105.04
1986,78.2
