Characteristic,Gross domestic product in billion U.S. dollars
2026*,5.36
2025*,4.9
2024*,4.7
2023*,4.5
2022*,4.37
2021*,4.23
2020*,3.95
2019,4.47
2018,4.67
2017,4.41
2016,3.82
2015,4.08
2014,4.43
2013,4.6
2012,4.89
2011,4.83
2010,4.44
2009,3.6
2008,3.3
2007,3.47
2006,3.29
2005,3.18
2004,2.77
2003,2.2
2002,1.44
2001,1.54
2000,1.74
1999,1.76
1998,1.8
1997,1.96
1996,1.83
1995,1.93
1994,1.62
1993,1.5
1992,1.43
1991,1.29
1990,1.24
1989,1.01
1988,0.99
1987,0.83
1986,0.64
