Characteristic,Number of employees
2019,573300
2018,537900
2017,504800
2016,471100
2015,499500
2014,494600
2013,472600
2012,463900
2011,442300
2010,437700
2009,440300
2008,444500
2007,434400
2006,428200
2005,430400
2004,374900
2003,351400
2002,348000
2001,340500
2000,330600
1999,319200
1998,306200
1997,292100
1996,278000
1995,260100
1994,249400
1993,237900
1992,228300
1991,219000
1990,204200
1989,228100
1988,216500
1987,202100
1986,188100
1985,170700
1984,153900
1983,144800
1982,142100
1981,142700
1980,141900
1975,122100
1970,93900
1965,54200
1960,50200
