Characteristic,Direct premiums written in million U.S dollars
United Kingdom,264221
France,167588
Italy,124133
Germany,101550
Ireland,66297
Luxembourg,31562
Spain,30808
Switzerland,30210
Sweden,28648
Denmark,27676
Finland,22291
Belgium,18368
Netherlands,14437
Norway,12053
Portugal,8031
Austria,6126
Poland,3892
Czechia,2309
Greece,2180
Malta,2003
Hungary,1741
Turkey,1689
Slovakia,933
Slovenia,844
Romania,481
Croatia,463
Cyprus,431
Bulgaria,200
Estonia,113
Latvia,57
Iceland,51
Liechtenstein,-
