Characteristic,Volume of trade goods in billion U.S. dollars
Transportation Equipment,253.53
Chemicals,196.79
"Machinery, Except Electrical",119.03
Computers & Electronic Products,112.34
Oil & Gas,94.93
Petroleum & Coal Products,93.29
Food & Kindred Products,64.92
Agricultural Products,61.55
"Special Classification Provision, Nspf",48.71
Primary Metal Products,46.97
Miscellaneous Manufactured Commodities,46.47
"Electrical Equipment, Appliances & Components",45.84
Fabricated Metal Products,42.31
Plastic & Rubber Products,30.44
Paper Products,22.87
Scrap & Waste,19.54
Minerals & Ores,19.01
Used Or Second-H& Merch&ise,16.26
Nonmetallic Mineral Products,10.75
Textile & Fabrics,8.39
Beverages & Tobacco,7.39
Wood Products,6.69
"Fish, Fresh Or Chilled; & Other Marine Products",4.97
Furniture & Fixtures,4.66
"Printing, Publishing & Similar Products",4.53
Apparel & Accessories,3.04
Leather & Allied Products,2.87
Textile Mill Products,2.64
"Forestry Products, Nspf",1.95
Livestock & Livestock Products,1.94
Goods Returned Or Reimported,0.04
