Characteristic,Number of product references
Vivi Verde Coop,604
"Inaturale Bio, Inaturale Zerotre Bio - Iper",371
Carrefour Bio,308
Esselunga Bio,300
Scelta Verde Biologico - Despar,248
Auchan Bio,210
Bio Pam & Panorama,202
Via Verde Bio Primia - Agora' Network,200
Verso Natura Bio,170
"Natura Chiama Selex, La Natura Vale - Selex",160
Il Viaggiator Goloso - Unes,146
Crai Bio,100
Bio - In's Mercato,80
Bio - MD,74
Biodi' - Tuodi',74
Bennet Bio,60
Bio - d.it,44
Other brands - Todis,41
Bio Organic - Lidl,40
Végé - Végé,37
Bio - Italy Discount,30
Amo Essere Biologico - Eurospin,30
