Characteristic,Number of followers in millions
New York Yankees,14.51
Boston Red Sox,9.21
LA Dodgers,7.73
Chicago Cubs,7.59
San Franciso Giants,5.96
Toronto Blue Jays,5.23
Atlanta Braves,4.6
St Louis Cardinals,4.49
Detroit Tigers,4.49
Texas Rangers,4.36
Philadelphia Phillies,4.24
Houston Astros,4.1
New York Mets,3.48
LA Angels,3.22
Kansas City Royals,3.09
Cleveland Indians,2.98
Chicago White Sox,2.95
Pittsburgh Pirates,2.56
Cincinnati Reds,2.54
Baltimore Orioles,2.46
Seattle Mariners,2.41
Minnesota Twins,2.24
Milwaukee Brewers,2.18
Washington Nationals,2.09
Colorado Rockies,1.92
Oakland Athletics,1.76
Arizona Diamondbacks,1.71
Tampa Bay Rays,1.6
San Diego Padres,1.57
Miami Marlins,1.54
