Characteristic,Comepnsation in U.S. dollars
Hematology & medical oncology,82.89
Neurological surgery,71.81
Orthopedic surgery,66.63
Plastic & reconstruction,64.17
Cardiology,59.81
Hospitalist - internal medicine,58.68
Radiology (non-interventional),58.53
Dermatology,57.82
Gastroenterology,57.15
Urology,57.05
General surgery,54.7
Neurology,53.61
Internal medicine,47.47
Pathology,47.23
Obstetricians/gynecologists - general,46.94
Urgent care,44.78
Emergency medicine,43.36
Family medicine,42.52
Pediatrics - general,41.01
Anesthesiology,33.32
